Barcode;yaaY;ybiJ;yfaQ;yibN;yijD
ESC_AA8317AA_AS;1;1;1;1;1
ESC_AA8319AA_AS;1;1;1;1;1
ESC_AA8322AA_AS;1;1;1;1;1
ESC_AA8326AA_AS;1;1;1;1;1
ESC_AA8336AA_AS;1;1;1;1;1
ESC_AA8339AA_AS;1;1;1;1;1
ESC_AA8353AA_AS;1;1;1;1;1
ESC_AA8355AA_AS;1;1;1;1;1
ESC_AA8360AA_AS;1;1;1;1;1
ESC_AA8362AA_AS;1;1;1;1;1
ESC_AA8364AA_AS;1;1;1;1;1
ESC_AA8372AA_AS;1;1;1;1;1
ESC_AA8374AA_AS;1;1;1;1;1
ESC_AA8376AA_AS;1;1;1;1;1
ESC_AA8380AA_AS;1;1;1;1;1
ESC_AA8390AA_AS;1;1;1;1;1
ESC_AA8392AA_AS;1;1;1;1;1
ESC_AA8396AA_AS;1;1;1;1;1
ESC_AA8397AA_AS;1;1;1;1;1
ESC_AA8398AA_AS;1;1;1;1;1
ESC_AA8402AA_AS;1;1;1;1;1
ESC_AA8409AA_AS;1;1;1;1;1
ESC_AA8414AA_AS;1;1;1;1;1
ESC_AA8426AA_AS;1;1;1;1;1
ESC_AA8447AA_AS;1;1;1;1;1
ESC_AA8451AA_AS;1;1;1;1;1
ESC_AA8457AA_AS;1;1;1;1;1
ESC_AA8464AA_AS;1;1;1;1;1
ESC_AA8470AA_AS;1;1;1;1;1
ESC_AA8479AA_AS;1;1;1;1;1
ESC_AA8510AA_AS;1;1;1;1;1
ESC_AA8518AA_AS;1;1;1;1;1
ESC_AA8526AA_AS;1;1;1;1;1
ESC_AA8527AA_AS;1;1;1;1;1
ESC_AA8528AA_AS;1;1;1;1;1
ESC_AA8534AA_AS;1;1;1;1;1
ESC_AA8536AA_AS;1;1;1;1;1
ESC_AA8537AA_AS;1;1;1;1;1
ESC_AA8538AA_AS;1;1;1;1;1
ESC_AA8549AA_AS;1;1;1;1;1
ESC_AA8553AA_AS;1;1;1;1;1
ESC_AA8567AA_AS;1;1;1;1;1
ESC_AA8581AA_AS;1;1;1;1;1
ESC_AA8582AA_AS;1;1;1;1;1
ESC_AA8600AA_AS;1;1;1;1;1
ESC_AA8601AA_AS;1;1;1;1;1
ESC_AA8604AA_AS;1;1;1;1;1
ESC_AA8608AA_AS;1;1;1;1;1
ESC_AA8616AA_AS;1;1;1;1;1
ESC_AA8625AA_AS;1;1;1;1;1
ESC_AA8627AA_AS;1;1;1;1;1
ESC_AA8632AA_AS;1;1;1;1;1
ESC_AA8641AA_AS;1;1;1;1;1
ESC_AA8665AA_AS;1;1;1;1;1
ESC_AA8677AA_AS;1;1;1;1;1
ESC_AA8678AA_AS;1;1;1;1;1
ESC_AA8689AA_AS;1;1;1;1;1
ESC_AA8720AA_AS;1;1;1;1;1
ESC_AA8741AA_AS;1;1;1;1;1
ESC_AA8760AA_AS;1;1;.;1;1
ESC_AA8761AA_AS;1;1;1;1;1
ESC_AA8762AA_AS;1;1;1;1;1
ESC_AA8769AA_AS;1;1;1;1;1
ESC_AA8779AA_AS;1;1;1;1;1
ESC_AA8787AA_AS;1;1;1;1;1
ESC_AA8805AA_AS;1;1;1;1;1
ESC_AA8816AA_AS;1;1;1;1;1
ESC_AA8820AA_AS;1;1;1;1;1
ESC_AA8826AA_AS;1;1;1;1;1
ESC_AA8832AA_AS;1;1;1;1;1
ESC_AA8842AA_AS;1;1;1;1;1
ESC_AA8861AA_AS;1;1;1;1;1
ESC_AA8870AA_AS;1;1;1;1;1
ESC_AA8873AA_AS;1;1;1;1;1
ESC_AA8878AA_AS;1;1;1;1;1
ESC_AA8887AA_AS;1;1;1;1;1
ESC_AA8892AA_AS;1;1;1;1;1
ESC_AA8896AA_AS;1;1;1;1;1
ESC_AA8902AA_AS;1;1;1;1;1
ESC_AA8911AA_AS;1;1;1;1;1
ESC_AA8918AA_AS;1;1;1;1;1
ESC_AA8923AA_AS;1;1;1;1;1
ESC_AA8926AA_AS;1;1;1;1;1
ESC_AA8936AA_AS;1;1;1;1;1
ESC_AA8939AA_AS;1;1;1;1;1
ESC_AA8956AA_AS;1;1;1;1;1
ESC_AA8958AA_AS;1;1;1;1;1
ESC_AA8963AA_AS;1;1;1;1;1
ESC_AA8965AA_AS;1;1;1;1;1
ESC_AA8972AA_AS;1;1;1;1;1
ESC_AA8977AA_AS;1;1;1;1;1
ESC_AA8987AA_AS;1;1;1;1;1
ESC_AA8990AA_AS;1;1;1;1;1
ESC_AA9000AA_AS;1;1;1;1;1
ESC_AA9003AA_AS;1;1;1;1;1
ESC_AA9004AA_AS;1;1;1;1;1
ESC_AA9006AA_AS;1;1;1;1;1
ESC_AA9021AA_AS;1;1;1;1;1
ESC_AA9027AA_AS;1;1;1;1;1
ESC_AA9033AA_AS;1;1;1;1;1
ESC_AA9040AA_AS;1;1;1;1;1
ESC_AA9042AA_AS;1;1;1;1;1
ESC_AA9051AA_AS;1;1;1;1;1
ESC_AA9059AA_AS;1;1;1;1;1
ESC_AA9069AA_AS;1;1;1;1;1
ESC_AA9074AA_AS;1;1;1;1;1
ESC_AA9080AA_AS;1;1;1;1;1
ESC_AA9082AA_AS;1;1;1;1;1
ESC_AA9084AA_AS;1;1;1;1;1
ESC_AA9088AA_AS;1;1;1;1;1
ESC_AA9090AA_AS;1;1;1;1;1
ESC_AA9094AA_AS;1;1;1;1;1
ESC_AA9095AA_AS;1;1;1;1;1
ESC_AA9100AA_AS;1;1;1;1;1
ESC_AA9103AA_AS;1;1;1;1;1
ESC_AA9112AA_AS;1;1;1;1;1
ESC_AA9138AA_AS;1;1;1;1;1
ESC_AA9198AA_AS;1;1;1;1;1
ESC_AA9202AA_AS;1;1;1;1;1
ESC_AA9220AA_AS;1;1;1;1;1
ESC_AA9243AA_AS;1;1;1;1;1
ESC_AA9278AA_AS;1;1;1;1;1
ESC_AA9282AA_AS;1;1;1;1;1
ESC_AA9290AA_AS;1;1;1;1;1
ESC_AA9291AA_AS;1;1;1;1;1
ESC_AA9296AA_AS;1;1;1;1;1
ESC_AA9307AA_AS;1;1;1;1;1
ESC_AA9310AA_AS;1;1;1;1;1
ESC_AA9316AA_AS;1;1;1;1;1
ESC_AA9322AA_AS;1;1;1;1;1
ESC_AA9323AA_AS;1;1;1;1;1
ESC_AA9324AA_AS;1;1;1;1;1
ESC_AA9328AA_AS;1;1;1;1;1
ESC_AA9329AA_AS;1;1;1;1;1
ESC_AA9335AA_AS;1;1;1;1;1
ESC_AA9336AA_AS;1;1;1;1;1
ESC_AA9340AA_AS;1;1;1;1;1
ESC_AA9341AA_AS;1;1;1;1;1
ESC_AA9354AA_AS;1;1;1;1;1
ESC_AA9364AA_AS;1;1;1;1;1
ESC_AA9368AA_AS;1;1;1;1;1
ESC_AA9370AA_AS;1;1;1;1;1
ESC_AA9376AA_AS;1;1;1;1;1
ESC_AA9383AA_AS;1;1;1;1;1
ESC_AA9389AA_AS;1;1;1;1;1
ESC_AA9392AA_AS;1;1;1;1;1
ESC_AA9405AA_AS;1;1;1;1;1
ESC_AA9415AA_AS;1;1;1;1;1
ESC_AA9419AA_AS;1;1;1;1;1
ESC_AA9421AA_AS;1;1;1;1;1
ESC_AA9428AA_AS;1;1;1;1;1
ESC_AA9438AA_AS;1;1;1;1;1
ESC_AA9440AA_AS;1;1;1;1;1
ESC_AA9444AA_AS;1;1;1;1;1
ESC_AA9447AA_AS;1;1;1;1;1
ESC_AA9450AA_AS;1;1;1;1;1
ESC_AA9454AA_AS;1;1;1;1;1
ESC_AA9457AA_AS;1;1;1;1;1
ESC_AA9460AA_AS;1;1;1;1;1
ESC_AA9463AA_AS;1;1;1;1;1
ESC_AA9464AA_AS;1;1;1;1;1
ESC_AA9476AA_AS;1;1;1;1;1
ESC_AA9488AA_AS;1;1;1;1;1
ESC_AA9489AA_AS;1;1;1;1;1
ESC_AA9494AA_AS;1;1;1;1;1
ESC_AA9505AA_AS;1;1;1;1;1
ESC_AA9512AA_AS;1;1;1;1;1
ESC_AA9524AA_AS;1;1;1;1;1
ESC_AA9526AA_AS;1;1;1;1;1
ESC_AA9530AA_AS;1;1;1;1;1
ESC_AA9535AA_AS;1;1;1;1;1
ESC_AA9537AA_AS;1;1;1;1;1
ESC_AA9550AA_AS;1;1;1;1;1
ESC_AA9556AA_AS;1;1;1;1;1
ESC_AA9571AA_AS;1;1;1;1;1
ESC_AA9581AA_AS;1;1;1;1;1
ESC_AA9582AA_AS;1;1;1;1;1
ESC_AA9584AA_AS;1;1;1;1;1
ESC_AA9592AA_AS;1;1;1;1;1
ESC_AA9595AA_AS;1;1;1;1;1
ESC_AA9600AA_AS;1;1;1;1;1
ESC_AA9602AA_AS;1;1;1;1;1
ESC_AA9610AA_AS;1;1;1;1;1
ESC_AA9618AA_AS;1;1;1;1;1
ESC_AA9634AA_AS;1;1;1;1;1
ESC_AA9637AA_AS;1;1;1;1;1
ESC_AA9640AA_AS;1;1;1;1;1
ESC_AA9641AA_AS;1;1;1;1;1
ESC_AA9649AA_AS;1;1;1;1;1
ESC_AA9650AA_AS;1;1;1;1;1
ESC_AA9657AA_AS;1;1;1;1;1
ESC_AA9661AA_AS;1;1;1;1;1
ESC_AA9673AA_AS;1;1;1;1;1
ESC_AA9677AA_AS;1;1;1;1;1
ESC_AA9679AA_AS;1;1;1;1;1
ESC_AA9690AA_AS;1;1;.;1;1
ESC_AA9692AA_AS;1;1;1;1;1
ESC_AA9694AA_AS;1;1;1;1;1
ESC_AA9695AA_AS;1;1;1;1;1
ESC_AA9696AA_AS;1;1;1;1;1
ESC_AA9707AA_AS;1;1;1;1;1
ESC_AA9708AA_AS;1;1;1;1;1
ESC_AA9715AA_AS;1;1;1;1;1
ESC_AA9720AA_AS;1;1;1;1;1
ESC_AA9722AA_AS;1;1;1;1;1
ESC_AA9724AA_AS;1;1;1;1;1
ESC_AA9738AA_AS;1;1;1;1;1
ESC_AA9740AA_AS;1;1;1;1;1
ESC_AA9741AA_AS;1;1;1;1;1
ESC_AA9748AA_AS;1;1;1;1;1
ESC_AA9754AA_AS;1;1;1;1;1
ESC_AA9775AA_AS;1;1;1;1;1
ESC_AA9781AA_AS;1;1;1;1;1
ESC_AA9785AA_AS;1;1;1;1;1
ESC_AA9786AA_AS;1;1;1;1;1
ESC_AA9787AA_AS;1;1;1;1;1
ESC_AA9789AA_AS;1;1;1;1;1
ESC_AA9812AA_AS;1;1;1;1;1
ESC_AA9813AA_AS;1;1;1;1;1
ESC_AA9814AA_AS;1;1;1;1;1
ESC_AA9817AA_AS;1;1;1;1;1
ESC_AA9819AA_AS;1;1;1;1;1
ESC_AA9829AA_AS;1;1;1;1;1
ESC_AA9839AA_AS;1;1;1;1;1
ESC_AA9842AA_AS;1;1;1;1;1
ESC_AA9849AA_AS;1;1;1;1;1
ESC_AA9850AA_AS;1;1;1;1;1
ESC_AA9857AA_AS;1;1;1;1;1
ESC_AA9859AA_AS;1;1;1;1;1
ESC_AA9882AA_AS;1;1;1;1;1
ESC_AA9891AA_AS;1;1;1;1;1
ESC_AA9905AA_AS;1;1;1;1;1
ESC_AA9918AA_AS;1;1;1;1;1
ESC_AA9919AA_AS;1;1;1;1;1
ESC_AA9921AA_AS;1;1;1;1;1
ESC_AA9937AA_AS;1;1;1;1;1
ESC_AA9938AA_AS;1;1;1;1;1
ESC_AA9959AA_AS;1;1;1;1;1
ESC_AA9960AA_AS;1;1;1;1;1
ESC_AA9968AA_AS;1;1;1;1;1
ESC_AA9971AA_AS;1;1;1;1;1
ESC_AA9980AA_AS;1;1;1;1;1
ESC_AA9991AA_AS;1;1;1;1;1
ESC_AB0738AA_AS;1;1;1;1;1
ESC_AB0739AA_AS;1;1;1;1;1
ESC_AB0740AA_AS;1;1;1;1;1
ESC_AB0741AA_AS;1;1;1;1;1
ESC_AB0742AA_AS;1;1;1;1;1
ESC_AB0743AA_AS;1;1;1;1;1
ESC_AB0876AA_AS;1;1;1;1;1
ESC_AB0877AA_AS;1;1;1;1;1
ESC_AB0988AA_AS;1;1;1;1;1
ESC_AB1908AA_AS;1;1;1;1;1
ESC_AB1909AA_AS;1;1;1;1;1
ESC_AB1910AA_AS;1;1;1;1;1
ESC_AB1911AA_AS;1;1;1;1;1
ESC_AB1912AA_AS;1;1;1;1;1
ESC_AB1913AA_AS;1;1;1;1;1
ESC_AB1915AA_AS;1;1;1;1;1
ESC_AB1916AA_AS;1;1;1;1;1
ESC_AB1917AA_AS;1;1;1;1;1
ESC_AB1918AA_AS;1;1;1;1;1
ESC_AB1919AA_AS;1;1;1;1;1
ESC_AB1920AA_AS;1;1;1;1;1
ESC_AB1921AA_AS;1;1;1;1;1
ESC_AB1922AA_AS;1;1;1;1;1
ESC_AB1923AA_AS;1;1;1;1;1
ESC_AB1924AA_AS;1;1;1;1;1
ESC_AB1925AA_AS;1;1;1;1;1
ESC_AB1926AA_AS;1;1;1;1;1
ESC_AB1927AA_AS;1;1;1;1;1
ESC_AB1928AA_AS;1;1;1;1;1
ESC_AB1950AA_AS;1;1;1;1;1
ESC_AB1999AA_AS;1;1;1;1;1
ESC_AB2000AA_AS;1;1;1;1;1
ESC_AB2001AA_AS;1;1;1;1;1
ESC_AB2002AA_AS;1;1;1;1;1
ESC_AB2152AA_AS;1;1;1;1;1
ESC_AB2155AA_AS;1;1;1;1;1
ESC_AB5039AA_AS;1;1;1;1;1
ESC_AB5040AA_AS;1;1;1;1;1
ESC_AB6300AA_AS;1;1;1;1;1
ESC_AB6947AA_AS;1;1;1;1;1
ESC_AB6948AA_AS;1;1;.;1;1
ESC_AB6949AA_AS;1;1;1;1;1
ESC_AB6950AA_AS;1;1;1;1;1
ESC_AB6951AA_AS;1;1;1;1;1
ESC_AB6952AA_AS;1;1;1;1;1
ESC_AB6953AA_AS;1;1;1;1;1
ESC_AB6955AA_AS;1;1;1;1;1
ESC_AB6957AA_AS;1;1;1;1;1
ESC_AB6958AA_AS;1;1;1;1;1
ESC_AB6959AA_AS;1;1;1;1;1
ESC_AB6960AA_AS;1;1;1;1;1
ESC_AB6961AA_AS;1;1;1;1;1
ESC_AB6962AA_AS;1;1;1;1;1
ESC_AB7104AA_AS;1;1;1;1;1
ESC_AB7105AA_AS;1;1;1;1;1
ESC_AB7106AA_AS;1;1;1;1;1
ESC_AB7107AA_AS;1;1;1;1;1
ESC_AB7108AA_AS;1;1;1;1;1
ESC_AB7109AA_AS;1;1;1;1;1
ESC_AB7536AA_AS;1;1;1;1;1
ESC_AB7595AA_AS;1;1;1;1;1
ESC_AB7609AA_AS;1;1;1;1;1
ESC_AB7610AA_AS;1;1;1;1;1
ESC_AB7611AA_AS;1;1;1;1;1
ESC_AB7612AA_AS;1;1;1;1;1
ESC_AB7613AA_AS;1;1;1;1;1
ESC_AB7614AA_AS;1;1;1;1;1
ESC_AB7615AA_AS;1;1;1;1;1
ESC_AB7616AA_AS;1;1;1;1;1
ESC_AB7617AA_AS;1;1;1;1;1
ESC_AB7618AA_AS;1;1;1;1;1
ESC_AB7619AA_AS;1;1;1;1;1
ESC_AB7620AA_AS;1;1;1;1;1
ESC_AB7621AA_AS;1;1;1;1;1
ESC_AB7622AA_AS;1;1;1;1;1
ESC_AB7623AA_AS;1;1;1;1;1
ESC_AB7624AA_AS;1;1;1;1;1
ESC_AB7625AA_AS;1;1;1;1;1
ESC_AB7626AA_AS;1;1;1;1;1
ESC_AB7627AA_AS;1;1;1;1;1
ESC_AB7628AA_AS;1;1;1;1;1
ESC_AB7629AA_AS;1;1;1;1;1
ESC_AB7630AA_AS;1;1;1;1;1
ESC_AB7631AA_AS;1;1;1;1;1
ESC_AB7632AA_AS;1;1;1;1;1
ESC_AB7633AA_AS;1;1;1;1;1
ESC_AB7634AA_AS;1;1;1;1;1
ESC_AB7635AA_AS;1;1;1;1;1
ESC_AB7636AA_AS;1;1;1;1;1
ESC_AB7637AA_AS;1;1;1;1;1
ESC_AB7638AA_AS;1;1;1;1;1
ESC_AB7639AA_AS;1;1;1;1;1
ESC_AB7640AA_AS;1;1;1;1;1
ESC_AB7641AA_AS;1;1;1;1;1
ESC_AB7642AA_AS;1;1;1;1;1
ESC_AB7643AA_AS;1;1;1;1;1
ESC_AB7644AA_AS;1;1;1;1;1
ESC_AB7645AA_AS;1;1;1;1;1
ESC_AB7646AA_AS;1;1;1;1;1
ESC_AB7647AA_AS;1;1;1;1;1
ESC_AB7648AA_AS;1;1;1;1;1
ESC_AB7649AA_AS;1;1;1;1;1
ESC_AB7650AA_AS;1;1;1;1;1
ESC_AB7651AA_AS;1;1;1;1;1
ESC_AB7652AA_AS;1;1;1;1;1
ESC_AB7653AA_AS;1;1;1;1;1
ESC_AB7654AA_AS;1;1;1;1;1
ESC_AB7655AA_AS;1;1;1;1;1
ESC_AB7656AA_AS;1;1;1;1;1
ESC_AB7657AA_AS;1;1;1;1;1
ESC_AB7658AA_AS;1;1;1;1;1
ESC_AB7659AA_AS;1;1;1;1;1
ESC_AB7661AA_AS;1;1;1;1;1
ESC_AB7662AA_AS;1;1;1;1;1
ESC_AB7663AA_AS;1;1;1;1;1
ESC_AB7664AA_AS;1;1;1;1;1
ESC_AB7665AA_AS;1;1;1;1;1
ESC_AB7666AA_AS;1;1;1;1;1
ESC_AB7667AA_AS;1;1;1;1;1
ESC_AB7668AA_AS;1;1;1;1;1
ESC_AB7669AA_AS;1;1;1;1;1
ESC_AB7670AA_AS;1;1;1;1;1
ESC_AB7673AA_AS;1;1;1;1;1
ESC_AB7674AA_AS;1;1;1;1;1
ESC_AB7675AA_AS;1;1;1;1;1
ESC_AB7676AA_AS;1;1;1;1;1
ESC_AB7677AA_AS;1;1;1;1;1
ESC_AB7678AA_AS;1;1;1;1;1
ESC_AB7679AA_AS;1;1;1;1;1
ESC_AB7680AA_AS;1;1;1;1;1
ESC_AB7681AA_AS;1;1;1;1;1
ESC_AB7682AA_AS;1;1;1;1;1
ESC_AB7683AA_AS;1;1;1;1;1
ESC_AB7684AA_AS;1;1;1;1;1
ESC_AB7685AA_AS;1;1;1;1;1
ESC_AB7686AA_AS;1;1;1;1;1
ESC_AB7687AA_AS;1;1;1;1;1
ESC_AB7688AA_AS;1;1;1;1;1
ESC_AB7689AA_AS;1;1;1;1;1
ESC_AB7690AA_AS;1;1;1;1;1
ESC_AB7691AA_AS;1;1;1;1;1
ESC_AB7692AA_AS;1;1;1;1;1
ESC_AB7693AA_AS;1;1;1;1;1
ESC_AB7694AA_AS;1;1;1;1;1
ESC_AB7695AA_AS;1;1;1;1;1
ESC_AB7696AA_AS;1;1;1;1;1
ESC_AB7697AA_AS;1;1;1;1;1
ESC_AB7698AA_AS;1;1;1;1;1
ESC_AB7699AA_AS;1;1;1;1;1
ESC_AB7700AA_AS;1;1;1;1;1
ESC_AB7701AA_AS;1;1;1;1;1
ESC_AB7702AA_AS;1;1;1;1;1
ESC_AB7703AA_AS;1;1;1;1;1
ESC_AB7704AA_AS;1;1;1;1;1
ESC_AB7705AA_AS;1;1;1;1;1
ESC_AB7706AA_AS;1;1;1;1;1
ESC_AB7707AA_AS;1;1;1;1;1
ESC_AB7708AA_AS;1;1;1;1;1
ESC_AB7709AA_AS;1;1;1;1;1
ESC_AB7710AA_AS;1;1;1;1;1
ESC_AB7711AA_AS;1;1;1;1;1
ESC_AB7712AA_AS;1;1;1;1;1
ESC_AB7713AA_AS;1;1;1;1;1
ESC_AB7714AA_AS;1;1;1;1;1
ESC_AB7715AA_AS;1;1;1;1;1
ESC_AB7716AA_AS;1;1;1;1;1
ESC_AB7717AA_AS;1;1;1;1;1
ESC_AB7718AA_AS;1;1;1;1;1
ESC_AB7719AA_AS;1;1;1;1;1
ESC_AB7720AA_AS;1;1;1;1;1
ESC_AB7721AA_AS;1;1;1;1;1
ESC_AB7723AA_AS;1;1;1;1;1
ESC_AB7724AA_AS;1;1;1;1;1
ESC_AB7725AA_AS;1;1;1;1;1
ESC_AB7726AA_AS;1;1;1;1;1
ESC_AB7727AA_AS;1;1;1;1;1
ESC_AB7728AA_AS;1;1;1;1;1
ESC_AB7729AA_AS;1;1;1;1;1
ESC_AB7730AA_AS;1;1;1;1;1
ESC_AB7731AA_AS;1;1;1;1;1
ESC_AB7732AA_AS;1;1;1;1;1
ESC_AB7733AA_AS;1;1;1;1;1
ESC_AB7734AA_AS;1;1;1;1;1
ESC_AB7735AA_AS;1;1;1;1;1
ESC_AB7736AA_AS;1;1;1;1;1
ESC_AB7737AA_AS;1;1;1;1;1
ESC_AB7738AA_AS;1;1;1;1;1
ESC_AB7739AA_AS;1;1;1;1;1
ESC_AB7740AA_AS;1;1;1;1;1
ESC_AB7741AA_AS;1;1;1;1;1
ESC_AB7742AA_AS;1;1;1;1;1
ESC_AB7743AA_AS;1;1;1;1;1
ESC_AB7744AA_AS;1;1;.;1;1
ESC_AB7745AA_AS;1;1;1;1;1
ESC_AB7746AA_AS;1;1;1;1;1
ESC_AB7747AA_AS;1;1;1;1;1
ESC_AB7748AA_AS;1;1;1;1;1
ESC_AB7749AA_AS;1;1;1;1;1
ESC_AB7750AA_AS;1;1;1;1;1
ESC_AB7751AA_AS;1;1;1;1;1
ESC_AB7752AA_AS;1;1;1;1;1
ESC_AB7753AA_AS;1;1;1;1;1
ESC_AB7754AA_AS;1;1;1;1;1
ESC_AB7755AA_AS;1;1;1;1;1
ESC_AB7756AA_AS;1;1;.;1;1
ESC_AB7757AA_AS;1;1;1;1;1
ESC_AB7759AA_AS;1;1;1;1;1
ESC_AB7760AA_AS;1;1;1;1;1
ESC_AB7761AA_AS;1;1;1;1;1
ESC_AB7762AA_AS;1;1;1;1;1
ESC_AB7763AA_AS;1;1;1;1;1
ESC_AB7764AA_AS;1;1;1;1;1
ESC_AB7765AA_AS;1;1;1;1;1
ESC_AB7766AA_AS;1;1;1;1;1
ESC_AB7767AA_AS;1;1;1;1;1
ESC_AB7768AA_AS;1;1;1;1;1
ESC_AB7769AA_AS;1;1;1;1;1
ESC_AB7770AA_AS;1;1;1;1;1
ESC_AB7771AA_AS;1;1;1;1;1
ESC_AB7772AA_AS;1;1;1;1;1
ESC_AB7773AA_AS;1;1;1;1;1
ESC_AB7774AA_AS;1;1;1;1;1
ESC_AB7775AA_AS;1;1;1;1;1
ESC_AB7776AA_AS;1;1;1;1;1
ESC_AB7777AA_AS;1;1;1;1;1
ESC_AB7778AA_AS;1;1;1;1;1
ESC_AB7779AA_AS;1;1;1;1;1
ESC_AB7780AA_AS;1;1;1;1;1
ESC_AB7781AA_AS;1;1;1;1;1
ESC_AB7935AA_AS;1;1;1;1;1
ESC_AB7936AA_AS;1;1;1;1;1
ESC_AB8833AA_AS;1;1;1;1;1
ESC_AB8834AA_AS;1;1;1;1;1
ESC_AB8835AA_AS;1;1;.;1;1
ESC_AB8836AA_AS;1;1;1;1;1
ESC_AB8837AA_AS;1;1;1;1;1
ESC_AB8838AA_AS;1;1;1;1;1
ESC_AB8839AA_AS;1;1;1;1;1
ESC_AB8840AA_AS;1;1;.;1;1
ESC_AB8841AA_AS;1;1;1;1;1
ESC_AB8842AA_AS;1;1;1;1;1
ESC_AB9029AA_AS;1;1;1;1;1
ESC_AB9032AA_AS;1;1;1;1;1
ESC_AB9033AA_AS;1;1;1;1;1
ESC_AB9034AA_AS;1;1;1;1;1
ESC_AB9078AA_AS;1;1;1;1;1
ESC_AB9079AA_AS;1;1;1;1;1
